No.,Labels,Tweets,Happiness,Sadness,Anger,Disgust,Surprise,Fear,Sentiment
1,0,เป็นได้แค่คนคุย มันทรมานจังเนาะ. ?? . . . . .  . . . . . . . . . . #แคปชั่นอ่อย #แคปชั่น #แคปชั่นเด็ด #คนคุย #แคปชั่นโสด #แคปชั่นคนคุย #คำคม18บวก #เศร้า #เหงา #sadboy #อ่อย #แคปชั่นเสี่ยว #แคปชั่นภาษาอังกฤษ #แคปชั่นอกหัก,0,1,0,0,0,0,2
2,0,กุรอคุยมาทั้งวัน!! แต่ได้คำตอบสั้นๆว่า.. ฝันดี??  ________________________ #คําคมเด็ดๆ #คําคมในวงเหล้า  #แคปชั่นอ่อย #แคปชั่นเด็ด #แคปชั่นโดนๆ #ความรู้สึกล้วนๆ #ความรู้สึกของวันนี้ #ความรัก #อกหัก #เศร้า,0,1,1,0,0,0,2
3,0,เมื่อกี้ยังอยู่กับเพื่อน ดื่มไวน์ เม้ามอยเฮฮา พอกลับถึงบ้านอยู่ตัวคนเดียว กลับกลายเป็นโคตรเศร้าเฉยเลย #ซึมเศร้าเพื่อนรัก #ซึมเศร้า #โรคซึมเศร้า,0,1,0,0,1,0,2
4,0,บางคนอาจสงสัยการแอดมิดหวอดจิตเวชว่าต่างจากแอดมิดธรรมดายังไงบ้าง เราเคยแอดมิดในรพ.จิตเวชค่ะ เนื่องจาก #โรคซึมเศร้า มีแนวโน้มฆ่าตัวตาย  ตอนนั้นหมอคุยๆเสร็จถามว่า แอดมิดได้ไหม เราก็โอเค จากนั่นก็มีผู้ช่วยมาพาไปทำเรื่องค่ะ เข้าวันแรกให้เข้าตึกสามัญก่อนตามประสาน้องใหม่ (1),0,0,0,0,0,0,0
5,0,ด่วน! นายกฯ ออกแถลงการณ์ แจงสถานการณ์”ปาบึก”สั่งทุกหน่วยเร่งช่วยปชช. #ศูนย์วิทยุพระราม199 #ดีบอกต่อ #เศร้า #พายุปาบึก #ปาบึก #ประโยคนึงสะดุ้งทั้งไทม์ไลน์ #คมข่าวทั่วไทย #ช่อง8 #ช่องOne31 #ช่อง33 #ช่อง3 #ช่องวัน31 #ช่อง16 #ไทยรัฐทีวี #ไทยรัฐทีวี32 https://t.co/fROXYKMhdH,0,0,0,0,1,0,0
6,0,อาการมันกลับมาอีกแล้ว...ฝันถึงอาการนี้ด้วย อาการมันหนักขึ้นทุกวันจริงๆ เหนื่อยแล้ว...#โรคซึมเศร้า,0,1,0,0,0,1,2
7,0,เซนติเมตรนี่ใช่คนเดียวกับกลุ่มสไตลิสที่วางยานิ้งนางงามป่าว แค่สงสัยเฉยเฉย  #rip เด้อออออ,0,0,0,0,0,0,0
8,0,ไม่ได้หัวเราะนานแล้ว จนลืมไปว่าเสียงหัวเราะเสียงตอนตัวเองขำมันเป็นยังไง และความรู้สึกตอนนั้นมันเป็นยังไง #โรคซึมเศร้า,0,1,0,0,0,1,2
9,0,รอดูความเป็นธรรมของตวามยุติธรรม...#RIP #เมตรและโจ้,0,0,1,1,0,0,0
10,0,สุดท้ายแล้วความรักมันไม่สุขสมหวังเสมอไปหรอกบางทีความรักอาจจะคือการนั่งมองเขามีความสุขนั่งมองเขายิ้มกับคนที่เขารักก็ได้. ???? #อกหักมันเจ็บ #เศร้า #เสียใจ,0,1,0,0,0,0,2
11,0,เราแค่อยากมีเพื่อนเข้าใจเราแค่นี้เองเราไม่ได้เป็นตัวประหลาดนะไม่ใช่มอนเตอร์นะเราก้แค่อยากมีใครสักคนอยู่ข้างๆเเละค่อยให้กำลังใจกันอ่ะ #โรคซึมเศร้า #หาเพื่อนใหม่,0,1,1,0,0,1,2
12,0,นั่งซดเบียร์วนไป #โรคซึมเศร้า,1,0,0,0,0,0,0
13,0,ไม่เคยรักวันจันทร์เท่านี้เลย จะได้หาหมอแล้ว อาการมันแย่ลงอีกแล้ว เวรกกรมอะไรอีก #โรคซึมเศร้า,1,1,0,0,1,1,0
14,0,เค้าแค่คุยกะมึงเล่นๆๆ???? อย่าเผลอให้ใจเค้าล่ะ..........  #อกหัก #อกหักมันเจ็บ #เจ็บ #แอบชอบ #แคปชั่น #แคปชั่นเด็ด #แคปชั่นโสด #แคปชั่น2019 #แคปชั่นเศร้า #แคปชั่นโดนๆ #แคปชั่นความรัก #แคปชั่นเด็ดๆ #เศร้า #ร้องไห้ #คำคม #คำคม,0,1,1,0,0,1,2
15,0,ครั้งนึงผมเคยบอกเพื่อนผมว่าผมป่วยเป็นโรคซึมเศร้า เค้าก็บอกผมว่าอย่าทำร้ายตัวเองนะสัญญาก่อน แต่พอสักพักเค้าก็หายไปเลย พอเพื่อนหลายๆคนเริ่มรู้ก็เริ่มตีตัวออกห่างจนทุกวันนี้ผมกล้าจะบอกใครเลยว่าผมรู้สึกยังไง #โรคซึมเศร้า,0,1,0,1,1,1,2
16,0,แกไม่มันทรมานจริงๆ มันไม่ใช่การเรียกความสนใจใดแต่มันทรมาน #โรคซึมเศร้า,0,1,0,1,0,1,2
17,0,พลังทำลายร้างมันสูง #โรคซึมเศร้า,0,0,0,0,1,0,0
18,0,มันจะมีพวกผู้ใหญ่ประเภทนึ่งที่พูดโดนไม่สนใจเด็กว่าเขาจะรู้สึกยังไง   ‘การที่เทอเป็นเเบบนี้ก็เเค่ข้ออ้าง’ ‘ลองเลิกคิดว่าตังเองเป็นสิ’ กูละอยากจะตะโกนดังๆว่า  ‘อีควาย!!!ถ้ากูเลือกเกิดได้กูก็อยากมีความสุขเหมือนกันเเหละสัส’ #โรคซึมเศร้า  #เหนื่อยใจ #ความรู้สึก,0,0,1,1,0,0,2
19,0,ภายนอกยิ้มภายในร้องไห้จนไม่รู้จะร้องยังไงเเล้ว #โรคซึมเศร้า,0,1,0,0,0,0,2
20,1,ปีนี้มีคนรู้จักผูกคอตาย ไม่รุ้สึกอะไรเลย นอกจากอิจฉา เก่งจังนะ #โรคซึมเศร้า,0,0,1,0,1,0,0
21,1,ตอนอยากตายก้ไม่อยากให้ใครมาเดือดร้อนด้วย ตอนอยากมีชีวิตอยู่ก้ไม่เก็นต้องให้ใครมาเดือนร้อนด้วยเช่นกัน   ทำเองก็ดูแลตัวเอง ????  #โรคซึมเศร้า,0,0,0,1,0,0,2
22,0,#โรคซึมเศร้า แกก็พยายามแก้ไขตัวเองสิ จะได้ไม่มีคนเกลียดแก... แต่แบบ เราไม่เห็นโอกาสให้เราได้แก้ไขเลยว่ะ มิหนํ่าซํ้ายังกลายเป็นตัวกลากิณีไปอีก เชี้ยเอ้ย..,0,0,1,1,0,0,2
23,0,เหนื่อย.. มีใครรับรู้มั้ย?  ฉันเหนื่อย!!!  #โรคซึมเศร้า,0,1,1,0,0,0,2
24,0,เหมือนเป็นตัวปัญหาให้ครอบครัวเลย #โรคซึมเศร้า,0,1,0,1,0,0,2
25,1,ไม่อยากเป็นภาระของใครแล้ว #โรคซึมเศร้า,0,1,0,1,0,1,2
26,1,บางครั้งก็อยากหายไป บางครั้งก็ถามตัวเองว่าอยู่ให้เป็นภาระคนในครอบครัวทำไม แต่ก็ไม่ได้คำตอบ แต่มีสิ่งหนึ่งที่ได้กลับมาคือ แค่ไม่อยากเห็นแม่ร้องไห้อีก ก็แค่นั้นแหละ #โรคซึมเศร้า,0,1,0,1,0,1,2
27,0,เบื่อ วันที่ไม่มีใครอยู่สักคน  #เหนื่อย #เบื่อ #แคปชั่นเศร้า #แคปชั่นเศร้า #แคปชั่นอกหัก #โรคซึมเศร้า,0,1,0,0,0,0,2
28,0,อยากให้เธอรับรู้ถึงความรู้สึกเราบ้าง????  #แคปชั่น #โรคซึมเศร้า #ครอบครัว #แอบชอบรุ่นพี่ #แอบชอบเพื่อน,0,1,0,0,0,0,2
29,0,หมาดำตัวนั้น วิ่งตามฉันตลอดเวลา #โรคซึมเศร้า,0,0,0,0,0,1,0
30,0,เธอเริ่มรักเขา แต่เรายังรักเธอ #ความรู้สึกล้วนๆ #เศร้า #อกหัก #เสียใจ #ความรู้สึกของวันนี้,0,1,0,0,0,0,2
31,0,อิจฉาเขาเนาะ ที่มีเราค่อยอยู่ข้างๆ?? #เศร้า  #แคปชั่น,0,1,1,0,0,0,0
32,0,เบาๆ #โรคซึมเศร้า,0,0,0,0,0,0,0
33,0,พอเปนโรคนี้มันเหมือนเราสร้างเกราะกำบังตัวเองจากสิ่งรอบๆตัวทุกอย่าง ไม่สามารถเปิดใจให้ใครได้ และใครก้อไม่สามารถผ่านเข้ามาได้เหมือนกัน #โรคซึมเศร้า,0,1,0,0,0,1,2
34,0,เจ้าสาวป่วยมะเร็งตับแต่งงานกลาง รพ.เสียชีวิตแล้ว เตือนใจคนปวดท้องบ่อย อย่าคิดว่าไม่มีอะไร #น้องโยโย่ #ทีมพีรญา #โรคซึมเศร้า #ข่าวจริง #ข่าว #แมทโป๊ะแตก #แคปชั่นโดนๆ #เบบี๋ #เงี่ยน #เงี่ยน #ข่าวสดออนไลน์ #ข่าวช่องวัน #ข่าวจริง #น้องโยโย่ #SeeUAgainPlannet https://t.co/MKd4DM92xX,0,1,0,0,1,0,2
35,0,ถ้าเราเป็นแม่คน เราจะไม่เป็นแบบแม่เรา'  ถ้ารู้ว่าตัวเราไม่มีความสามารถดูแลมนุษย์คนนึงได้ ก็ไม่ควรจะเอาเขามาทรมาน ทำแบบนั้นมันเจ็บปวด เหมือนตายทั้งที่ยังหายใจ #โรคซึมเศร้า,0,1,1,1,0,0,2
36,1,ชักอยากตายอีกแล้วสิแต่จะทำยังไงล้ะให้ทรมานน้อยที่สุด มีแต่เรื่อง มีแต่ปัญหา ไอเรื่องพวกนี้ก็เกิดจากเราทั้งนั้น #โรคซึมเศร้า,0,1,1,1,0,0,2
37,1,อ่อนแอ.. อ่อนไหว  อยากตาย..  #โรคซึมเศร้า,0,1,0,0,0,0,2
38,0,ทำไมเวลานัดกัน แล้วมีคนอื่นมานัดซ้อนทีหลัง เธอถึงเลือกที่จะเทเราตลอดเลยล่ะ เราไม่เคยสำคัญเลยหรอ?  #ความรักก็เช่นกัน #เจ็บ #เศร้า,0,1,1,0,0,0,2
